feeder,customer,length_lms,streetview_capture_date
FDR-101,Utility Co. A,0.2247,2023-03-27
FDR-101,Utility Co. A,0.06,2026-01-06
FDR-101,Utility Co. A,0.0746,2025-03-24
FDR-101,Utility Co. A,0.3819,2021-01-06
FDR-101,Utility Co. A,0.229,2022-07-06
FDR-101,Utility Co. A,0.1464,2026-02-04
FDR-101,Utility Co. A,0.2846,2021-04-04
FDR-101,Utility Co. A,0.3359,2020-09-03
FDR-101,Utility Co. A,0.1216,2020-09-04
FDR-101,Utility Co. A,0.2193,2025-03-24
FDR-101,Utility Co. A,0.1324,2021-11-05
FDR-101,Utility Co. A,0.3536,2025-06-14
FDR-101,Utility Co. A,0.147,2025-12-01
FDR-101,Utility Co. A,0.3636,2026-04-04
FDR-101,Utility Co. A,0.2857,2026-05-25
FDR-101,Utility Co. A,0.3655,2025-09-13
FDR-102,Utility Co. A,0.1203,2025-07-12
FDR-102,Utility Co. A,0.3671,2022-03-19
FDR-102,Utility Co. A,0.1688,2026-02-27
FDR-102,Utility Co. A,0.3988,2023-02-20
FDR-102,Utility Co. A,0.2919,2025-11-15
FDR-102,Utility Co. A,0.3461,2023-07-08
FDR-102,Utility Co. A,0.158,2026-02-25
FDR-102,Utility Co. A,0.1104,2026-06-26
FDR-102,Utility Co. A,0.3437,2022-05-04
FDR-102,Utility Co. A,0.3087,2026-06-05
FDR-102,Utility Co. A,0.0717,2021-01-07
FDR-102,Utility Co. A,0.0594,2020-12-07
FDR-102,Utility Co. A,0.1166,2025-07-28
FDR-102,Utility Co. A,0.1525,2023-07-26
FDR-102,Utility Co. A,0.2226,
FDR-103,Utility Co. B,0.1603,2026-04-17
FDR-103,Utility Co. B,0.3924,
FDR-103,Utility Co. B,0.1692,2025-06-16
FDR-103,Utility Co. B,0.3113,2026-02-23
FDR-103,Utility Co. B,0.0736,2025-02-24
FDR-103,Utility Co. B,0.3458,2022-11-19
FDR-103,Utility Co. B,0.241,2020-11-15
FDR-103,Utility Co. B,0.3234,
FDR-103,Utility Co. B,0.1024,2021-07-17
FDR-103,Utility Co. B,0.1003,2025-11-23
FDR-103,Utility Co. B,0.3631,2021-04-06
FDR-103,Utility Co. B,0.0624,2025-08-29
FDR-103,Utility Co. B,0.3996,2026-05-16
FDR-103,Utility Co. B,0.1355,2025-06-26
FDR-103,Utility Co. B,0.3546,2023-06-09
FDR-103,Utility Co. B,0.1059,2022-01-21
FDR-103,Utility Co. B,0.2638,2026-07-01
FDR-103,Utility Co. B,0.0635,2025-05-08
FDR-103,Utility Co. B,0.2729,2025-10-14
FDR-103,Utility Co. B,0.2752,2026-06-24
FDR-103,Utility Co. B,0.1603,2026-06-03
FDR-103,Utility Co. B,0.3694,2026-06-29
FDR-103,Utility Co. B,0.2465,
FDR-103,Utility Co. B,0.3675,2023-05-12
